Mapa,Composición recomendada
Ascent,2 Iniciadores | 1 Controlador | 1 Centinela | 1 Duelista
Bind,1 Iniciador | 2 Controladores | 0 Centinela | 2 Duelistas
Split,1 Iniciador | 2 Controladores | 1 Centinela | 1 Duelista
Haven,2 Iniciadores | 1 Controlador | 1 Centinela | 1 Duelista
Icebox,1 Iniciador | 1 Controlador | 0 Centinela | 3 Duelistas
Breeze,2 Iniciadores | 1 Controlador | 0 Centinela | 2 Duelistas
Fracture,2 Iniciadores | 2 Controladores | 0 Centinela | 1 Duelista
Pearl,1 Iniciador | 1 Controlador | 2 Centinelas | 1 Duelista
Lotus,2 Iniciadores | 2 Controladores | 0 Centinela | 1 Duelista
Sunset,1 Iniciador | 1 Controlador | 1 Centinela | 2 Duelistas
